Model,Scenario,MAE,STD,Num_Features
RF,Case Attributes (Baseline),157.12673694587815,84.22969685490834,16
RF,Control Flow: Events (Freq + State),222.30853915393774,110.86949131159281,38
RF,Control Flow: Frequency Only,222.3085391539377,110.8694913115928,37
RF,Control Flow: Last Two,150.12338209511498,80.87276038484369,18
RF,Full Control Flow,222.28991832681788,110.88482055476643,39
RF,Temporal Features,232.35311252473082,102.56348073143876,19
RF,Workload Features,74.28508040146674,62.448643337737096,18
RF,All Features,231.8466672248755,103.06470747700874,44
XGB,Case Attributes (Baseline),152.50080990301115,81.84513209741495,16
XGB,Control Flow: Events (Freq + State),158.6947040236999,86.34411328245164,38
XGB,Control Flow: Frequency Only,158.6947040236999,86.34411328245164,37
XGB,Control Flow: Last Two,149.93199502820167,80.51954950606552,18
XGB,Full Control Flow,158.91885523929776,86.40450006496832,39
XGB,Temporal Features,159.3913777431595,86.16281325492855,19
XGB,Workload Features,72.76719363576898,59.08817284978303,18
XGB,All Features,159.3913777431595,86.16281325492855,44
LSTM,Case Attributes (Baseline),107.50544738769531,55.95020294189453,14
LSTM,Control Flow (Sequence),96.52286529541016,51.29407501220703,15
LSTM,Temporal Features,101.79297637939453,52.84161376953125,18
LSTM,Workload Features,98.93264770507812,51.87692642211914,16
LSTM,All Features,108.6088638305664,56.640899658203125,21
